day,home_team,away_team,home_score,away_score
29,Girondins de Bordeaux,Stade Lavallois,0 , 0
29,AS Nancy-Lorraine,AS Monaco FC,1 , 1
29,AJ Auxerre,SC Toulon,1 , 1
29,SC Bastia,Paris Saint-Germain,1 , 1
29,FC Rouen 1899,Toulouse FC,3 , 1
29,Nîmes Olympique,RC Lens,2 , 1
29,LOSC Lille,Stade Brestois 29,2 , 1
29,Stade Rennais FC,FC Metz,1 , 2
29,FC Sochaux-Montbéliard,AS Saint-Etienne,1 , 1
29,RC Strasbourg,FC Nantes,0 , 0
30,RC Lens,Girondins de Bordeaux,3 , 1
30,AS Monaco FC,LOSC Lille,1 , 1
30,Paris Saint-Germain,Stade Rennais FC,3 , 2
30,AJ Auxerre,SC Bastia,1 , 1
30,FC Nantes,Toulouse FC,3 , 1
30,Stade Lavallois,RC Strasbourg,1 , 1
30,SC Toulon,FC Rouen 1899,1 , 0
30,Stade Brestois 29,FC Sochaux-Montbéliard,0 , 0
30,FC Metz,AS Nancy-Lorraine,1 , 2
30,AS Saint-Etienne,Nîmes Olympique,3 , 1
31,Girondins de Bordeaux,Stade Brestois 29,1 , 1
31,Nîmes Olympique,AS Monaco FC,1 , 2
31,Stade Rennais FC,AJ Auxerre,1 , 3
31,FC Sochaux-Montbéliard,Paris Saint-Germain,2 , 1
31,Toulouse FC,Stade Lavallois,0 , 0
31,FC Rouen 1899,FC Nantes,2 , 0
31,RC Strasbourg,SC Toulon,2 , 0
31,AS Nancy-Lorraine,RC Lens,2 , 0
31,SC Bastia,FC Metz,1 , 0
31,LOSC Lille,AS Saint-Etienne,1 , 1
32,FC Metz,Girondins de Bordeaux,0 , 0
32,AS Monaco FC,FC Sochaux-Montbéliard,1 , 1
32,AJ Auxerre,LOSC Lille,2 , 0
32,Paris Saint-Germain,Nîmes Olympique,0 , 0
32,RC Lens,FC Nantes,2 , 2
32,SC Toulon,Toulouse FC,3 , 2
32,Stade Lavallois,FC Rouen 1899,0 , 0
32,Stade Brestois 29,RC Strasbourg,0 , 0
32,SC Bastia,Stade Rennais FC,2 , 1
32,AS Saint-Etienne,AS Nancy-Lorraine,1 , 0
33,Girondins de Bordeaux,AS Saint-Etienne,7 , 0
33,Stade Rennais FC,AS Monaco FC,1 , 2
33,Nîmes Olympique,AJ Auxerre,1 , 1
33,LOSC Lille,Paris Saint-Germain,1 , 0
33,FC Nantes,Stade Lavallois,3 , 1
33,Toulouse FC,RC Lens,2 , 0
33,FC Sochaux-Montbéliard,SC Bastia,2 , 0
33,RC Strasbourg,FC Metz,0 , 0
33,FC Rouen 1899,Stade Brestois 29,0 , 1
33,AS Nancy-Lorraine,SC Toulon,2 , 2
34,AS Saint-Etienne,RC Strasbourg,0 , 1
34,AS Monaco FC,Girondins de Bordeaux,2 , 1
34,AJ Auxerre,FC Sochaux-Montbéliard,2 , 0
