kickoff	venue	home_team	away_team	score	home_goals	away_goals	result_1	result_n	result_2	result	home_elo	away_elo	elo_diff	elo_swap	home_1m_elo_diff	away_1m_elo_diff
2012-12-08	Stade de la Mosson	Montpellier	Ajaccio	3 - 0	3	0	1	0	0	1	1668	1558	110	6.9	5.40613	13.19885
2012-12-09	Stade Auguste Delaune II	Reims	Bordeaux	0 - 0	0	0	0	1	0	2	1516	1718	202	5.2	-13.44702	26.49121
2012-12-09	Stade Vélodrome	Marseille	Lorient	0 - 3	0	3	0	0	1	3	1645	1570	75	12.1	-39.33264	6.61267
2012-12-09	Stade Geoffroy-Guichard	St Etienne	Lyon	0 - 1	0	1	0	0	1	3	1658	1743	85	7.6	13.1897	20.23962
2012-12-11	Stade du Ray	Nice	Rennes	1 - 0	1	0	1	0	0	1	1603	1646	43	11.2	31.90735	2.78503
2012-12-11	Stade du Hainaut	Valenciennes	PSG	0 - 4	0	4	0	0	1	3	1624	1775	151	5.9	5.4165	6.55371
2012-12-11	Grand Stade Lille Métropole	Lille	Toulouse	2 - 0	2	0	1	0	0	1	1692	1627	65	8.2	-24.58228	-22.01819
2012-12-12	Stade Francis-le Blé	Brest	Montpellier	1 - 2	1	2	0	0	1	3	1560	1675	115	6.8	8.16809	9.61182
2012-12-12	Stade de Gerland	Lyon	Nancy	1 - 1	1	1	0	1	0	2	1751	1528	223	5.7	14.00964	4.51404
2012-12-12	Stade du Moustoir	Lorient	Sochaux	2 - 0	2	0	1	0	0	1	1590	1559	31	9.1	22.98547	13.08264
2012-12-12	Parc des Sports, Annecy	Evian	Troyes	2 - 0	2	0	1	0	0	1	1563	1465	98	7.3	5.97498	-6.17725
2012-12-12	Stade Francois-Coty	Ajaccio	Reims	2 - 0	2	0	1	0	0	1	1551	1520	31	9.1	-13.90186	-4.29871
2012-12-12	Stade Armand-Cesari-Furiani	Bastia	Marseille	1 - 2	1	2	0	0	1	3	1526	1625	99	7.2	11.08105	-61.55872
2012-12-13	Stade Jacques Chaban-Delmas	Bordeaux	St Etienne	0 - 0	0	0	0	1	0	2	1715	1650	65	1.8	2.99609	-2.23914
