start	name	goal	start_x	start_y	degree	distance	shot_headed	crosses	corner	pass_throw_in	pass_long_ball	pass_through_ball	pass_headed	predict	count	ratio
2015	Ismael Traoré	0	458.6	245.6	435.91897868	49.0672289335	4	5	3	0	0	0	0	0.638464513206	5	0.127692902641
2015	Issiaga Sylla	0	495.0	274.8	541.431957021	144.87512498	0	3	2	0	0	0	1	0.458584508721	6	0.0764307514535
2015	Issiar Dia	0	335.2	183.6	298.869460596	105.821574189	0	1	0	0	0	1	1	0.156898590512	4	0.0392246476281
2015	Ivan Cavaleiro	0	667.2	516.0	1054.20823739	199.115077351	1	2	0	1	0	0	0	0.404062690802	8	0.0505078363502
2015	Jaba Kankava	0	153.7	116.8	217.587665014	56.2951345433	0	0	0	0	0	0	1	0.0506729180669	2	0.0253364590334
2015	Jacques Zoua	0	948.6	558.2	974.86676684	295.231203738	1	4	0	0	0	0	1	0.66841171687	12	0.0557009764059
2015	Jacques-Alaixys Romao	0	180.7	95.9	159.59847108	29.3555058109	2	2	1	0	0	0	0	0.114832154546	2	0.0574160772728
2015	Jaroslav Plasil	2	570.7	316.5	646.421896499	172.009406763	1	1	1	0	0	0	1	0.435609039526	7	0.0622298627894
2015	Javier Manquillo	0	181.7	77.5	73.1652944918	29.1909063605	1	1	0	0	1	0	0	0.233577901932	2	0.116788950966
2015	Javier Pastore	1	909.4	513.9	894.13125524	227.487625158	1	4	2	0	0	1	1	1.0840618698	11	0.0985510790725
2015	Jean Deza	0	306.4	268.0	498.164351264	123.80685104	0	0	0	0	0	0	0	0.155161583589	4	0.0387903958973
2015	Jean Seri	1	877.7	634.8	1178.14758739	279.904573671	1	3	0	0	0	0	0	0.573098064861	11	0.0520998240783
2015	Jean-Armel Kana-Biyik	1	265.5	185.3	378.435321304	55.5153935427	0	3	3	0	0	0	0	0.232608056341	3	0.0775360187802
2015	Jean-Christophe Bahebeck	0	788.5	552.0	1151.4721338	167.571605635	3	3	1	0	0	0	0	1.204388858	9	0.133820984222
2015	Jean-Daniel Akpa-Akpro	0	310.1	201.8	361.42623617	102.650996364	0	4	1	0	0	0	0	0.146911300852	4	0.036727825213
2015	Jean-Kevin Augustin	0	278.4	118.0	150.797859804	45.4083333743	1	1	0	0	0	2	0	0.389553258709	3	0.129851086236
2015	Jeff Louis	1	626.8	444.4	757.154744324	196.048449167	2	4	0	0	0	0	0	0.743149808901	8	0.0928937261126
2015	Jeremie Boga	0	246.0	153.2	287.230757593	54.7047482279	1	1	0	0	0	0	0	0.262714330174	3	0.0875714433915
2015	Jerome Le Moigne	0	248.5	156.7	322.206806693	59.8421479368	1	3	1	0	1	0	0	0.197684943852	3	0.0658949812839
2015	Jessy Pi	1	1159.7	690.0	1214.11689696	377.242291956	0	8	3	0	0	0	0	0.847917905851	15	0.0565278603901
2015	Jimmy Briand	2	1770.1	969.7	1692.69929999	321.962594796	3	8	3	0	0	1	2	2.74223731154	20	0.137111865577
2015	Jimmy Cabot	0	94.5	30.3	15.5990858028	20.4533615819	0	0	0	0	0	0	0	0.076262017346	1	0.076262017346
2015	Johan Audel	0	1178.7	602.4	1080.47748329	209.369050573	4	7	1	0	0	0	2	1.72356604348	13	0.132582003345
2015	John Tshibumbu Lungeny	0	348.2	210.9	346.189262548	63.3239802081	3	2	2	0	1	0	0	0.301380056978	4	0.0753450142444
2015	Jonas Martin	1	680.4	496.2	996.743382944	177.610569574	1	2	0	0	0	1	0	0.613558810951	8	0.0766948513688
2015	Jonathan Bamba	1	666.4	332.5	539.378439005	160.13470207	1	1	0	0	0	0	0	0.830620444915	8	0.103827555614
2015	Jonathan Brison	0	70.8	47.9	85.8864952789	29.2754163079	0	0	0	0	0	0	0	0.0207259051862	1	0.0207259051862
2015	Jonathan Delaplace	0	578.5	376.2	692.205348017	140.456401552	1	3	0	0	0	0	0	0.652055822986	7	0.0931508318551
2015	Jonathan Pereira	0	89.2	39.9	46.9182803251	14.7868184543	0	1	1	0	0	0	0	0.101716804956	1	0.101716804956
2015	Jordan Adeoti	0	338.7	222.9	415.14665667	75.041367216	1	3	3	0	0	0	2	0.354596274893	4	0.0886490687233
2015	Jordan Ferri	0	614.2	377.7	678.405101437	202.26413838	0	4	2	0	0	0	2	0.41868958521	8	0.0523361981513
2015	Jordan Leborgne	0	76.0	38.5	64.3978124486	26.6129667643	0	0	0	0	0	0	0	0.0309236617377	1	0.0309236617377
2015	Joris Marveaux	1	358.0	205.5	404.073620329	48.7337951265	1	2	2	0	0	0	0	0.683199240775	4	0.170799810194
2015	João Moutinho	0	529.1	435.4	804.196340509	204.982324972	0	1	0	0	0	0	0	0.155951133199	7	0.0222787333142
2015	Juan Quintero	0	397.4	217.6	350.3355785	123.920365443	0	0	0	0	0	0	0	0.295901916051	5	0.0591803832103
2015	Jules Iloki	2	448.2	247.0	428.138706562	89.6069866127	0	0	0	0	0	0	0	1.00192538594	5	0.200385077188
2015	Julian Palmieri	3	702.7	510.9	1012.57281656	157.246434019	2	6	3	0	0	0	1	0.71472249816	8	0.0893403122699
