day,home_team,away_team,home_score,away_score
32,AS Saint-Etienne,FC Rouen 1899,2 , 2
32,Stade Rennais FC,Toulouse FC,2 , 1
32,FC Sochaux-Montbéliard,RC Lens,3 , 2
32,AS Monaco FC,Olympique Lyonnais,2 , 0
32,RC Strasbourg,AS Cannes,5 , 0
32,OGC Nice,Angers SCO,5 , 2
32,Nîmes Olympique,Stade Français,0 , 0
32,AS Red Star 93,LOSC Lille,6 , 4
33,Toulouse FC,AS Cannes,6 , 1
33,FC Nantes,Stade Rennais FC,4 , 0
33,Girondins de Bordeaux,AS Red Star 93,6 , 0
33,LOSC Lille,Valenciennes FC,6 , 1
33,Stade Français,FC Sochaux-Montbéliard,1 , 1
33,RC Lens,AS Monaco FC,0 , 0
33,Olympique Lyonnais,RC Strasbourg,2 , 0
33,FC Rouen 1899,CS Sedan,3 , 1
33,Angers SCO,Nîmes Olympique,3 , 0
33,OGC Nice,AS Saint-Etienne,4 , 2
34,Nîmes Olympique,FC Nantes,1 , 2
34,Valenciennes FC,FC Rouen 1899,1 , 1
34,AS Saint-Etienne,Girondins de Bordeaux,2 , 1
34,FC Sochaux-Montbéliard,Angers SCO,3 , 2
34,Stade Rennais FC,RC Lens,4 , 1
34,RC Strasbourg,Stade Français,4 , 0
34,CS Sedan,LOSC Lille,1 , 0
34,AS Cannes,Olympique Lyonnais,0 , 0
34,AS Red Star 93,OGC Nice,2 , 3
34,AS Monaco FC,Toulouse FC,2 , 3
35,FC Nantes,FC Sochaux-Montbéliard,2 , 1
35,Girondins de Bordeaux,Nîmes Olympique,5 , 2
35,AS Saint-Etienne,CS Sedan,2 , 1
35,LOSC Lille,Stade Rennais FC,1 , 3
35,RC Lens,AS Cannes,1 , 0
35,Angers SCO,Olympique Lyonnais,4 , 1
35,FC Rouen 1899,AS Red Star 93,1 , 0
35,OGC Nice,Valenciennes FC,1 , 1
35,Toulouse FC,RC Strasbourg,2 , 0
35,Stade Français,AS Monaco FC,1 , 0
36,FC Sochaux-Montbéliard,Girondins de Bordeaux,0 , 1
36,Valenciennes FC,AS Saint-Etienne,3 , 1
36,Olympique Lyonnais,Toulouse FC,0 , 1
36,CS Sedan,OGC Nice,2 , 0
36,AS Monaco FC,Angers SCO,1 , 3
36,Nîmes Olympique,LOSC Lille,4 , 1
36,AS Red Star 93,RC Lens,1 , 2
36,AS Cannes,Stade Français,0 , 4
36,Stade Rennais FC,FC Rouen 1899,4 , 0
36,RC Strasbourg,FC Nantes,1 , 0
37,AS Saint-Etienne,AS Red Star 93,7 , 0
37,LOSC Lille,FC Sochaux-Montbéliard,2 , 1
37,Angers SCO,AS Cannes,4 , 1
37,FC Rouen 1899,Nîmes Olympique,1 , 0
37,Stade Français,Olympique Lyonnais,0 , 1
37,FC Nantes,AS Monaco FC,2 , 1
37,Girondins de Bordeaux,RC Strasbourg,4 , 0
37,CS Sedan,Valenciennes FC,2 , 2
37,RC Lens,Toulouse FC,0 , 1
37,OGC Nice,Stade Rennais FC,3 , 2
38,Valenciennes FC,Angers SCO,4 , 1
38,FC Sochaux-Montbéliard,FC Rouen 1899,4 , 0
38,AS Red Star 93,CS Sedan,3 , 3
38,AS Cannes,FC Nantes,1 , 6
38,Toulouse FC,Stade Français,1 , 1
38,Stade Rennais FC,AS Saint-Etienne,2 , 0
38,RC Strasbourg,LOSC Lille,4 , 1
38,Olympique Lyonnais,RC Lens,3 , 2
38,Nîmes Olympique,OGC Nice,1 , 0
38,AS Monaco FC,Girondins de Bordeaux,0 , 2
