"goal";"degree";"distance";"start_x";"start_y";"shot_headed";"crosses";"corner";"pass_throw_in";"pass_long_ball";"pass_through_ball";"pass_headed"
0;44.2236819338787;26.0946354640183;81.8;31.3;0;0;0;0;0;0;0
1;35.6704603573019;20.0643963278241;88.3;33.7;0;0;0;0;0;1;0
0;175.52053954765;21.7664880033505;98.3;71.7;0;0;0;0;0;0;0
0;167.183997806341;21.6390850083824;95.2;71.1;0;0;0;0;0;0;0
0;42.8389205117736;15.0013332740793;89.8;39;1;1;0;0;0;0;0
0;166.789470021625;21.8789853512452;95;71.3;0;0;0;0;0;0;0
0;92.1354634423767;29.5205013507562;70.5;51.1;0;1;1;0;0;0;0
0;69.6915581634781;27.0835743579019;74.6;40.6;0;0;0;0;0;0;0
0;139.61992348166;28.0927036790694;81.8;71.4;0;0;0;0;0;0;0
0;144.090276920822;17.9025137899682;89.5;64.5;0;0;0;0;0;0;0
0;90.5562522270807;10.3004854254545;89.7;50.1;1;1;1;0;0;0;0
0;76.1682009079695;27.1884166512138;73.6;43.5;0;0;0;0;0;0;0
0;54.2323518509004;40.5475030057339;67.1;26.3;0;0;0;0;0;0;0
0;95.5275401516562;9.34344690143846;90.7;50.9;0;0;0;0;0;0;0
0;136.397181027296;17.4;88;62.6;0;1;0;0;0;0;0
0;31.3286928678042;29.6184064392398;84.6;24.7;0;0;0;0;0;0;0
0;57.0776691623642;33.118574848565;72.2;32;0;0;0;0;0;0;1
0;40.8636161063276;28.4290344542336;81.4;28.5;0;1;0;0;0;0;0
0;72.5972958686437;14.0427917452336;86.6;45.8;0;0;0;0;0;0;0
0;93.0940580589171;7.41080292545957;92.6;50.4;0;1;0;0;0;0;0
0;83.480198248343;3.52278299076171;96.5;49.6;1;0;0;0;0;0;0
0;83.395164503246;9.56347217280419;90.5;48.9;0;1;0;0;0;0;0
0;37.5242626144518;15.7610278852618;90.4;37.5;1;1;0;0;0;0;0
0;97.6960517220166;14.9345237620756;85.2;52;0;0;0;0;0;1;0
0;41.3477772196937;19.9809909664161;86.8;35;0;0;0;0;0;0;0
0;84.8871502201175;19.0759010272123;81;48.3;0;1;0;0;0;0;0
0;134.222277005736;15.6284996080878;88.8;60.9;1;1;0;0;0;0;0
0;139.059346364799;10.987720418722;92.8;58.3;1;1;0;0;0;0;0
1;128.305770868107;30.3295235702772;76.2;68.8;0;0;0;0;0;0;0
0;138.576334374997;20.4044112877583;86.5;65.3;0;0;0;0;0;0;0
0;105.113473059576;28.3816842347314;72.6;57.4;0;0;0;0;0;0;0
0;80.4988068484719;24.2324163054368;76.1;46;0;0;0;0;0;0;0
0;66.6231961279046;33.7721778983826;69;36.6;0;0;0;0;1;0;0
1;132.640833867418;18.8957667216761;86.1;62.8;0;0;0;0;0;0;0
0;56.0882864635608;28.6782147282567;76.2;34;0;0;0;0;0;0;0
0;85.7809046507516;12.2331516789419;87.8;49.1;0;1;0;0;0;0;0
0;56.897226273378;24.3526179290852;79.6;36.7;0;1;0;0;0;0;0
0;74.9621840964178;6.93757882838098;93.3;48.2;1;1;0;0;0;0;0
1;85.4462320208414;11.3357840487546;88.7;49.1;0;0;0;0;0;0;0
0;124.496996981082;25.6019530504999;78.9;64.5;0;0;0;0;0;0;0
0;159.562518045251;22.6241021921313;92.1;71.2;0;0;0;0;0;0;0
0;122.660912721674;13.8974817862806;88.3;57.5;0;1;0;0;0;0;0
0;152.364124368135;23.9301065605651;88.9;71.2;0;0;0;0;0;0;0
0;64.8851651138554;14.1364776376578;87.2;44;1;1;0;0;0;0;0
0;27.3999032659959;24.5546329640661;88.7;28.2;0;0;0;0;0;0;0
0;87.1959170048777;49.0587403018055;51;47.6;0;0;0;0;0;0;0
0;27.1907212463252;28.6681007393235;86.9;24.5;0;0;0;0;0;0;0
0;52.8327955662347;26.9803632295787;78.5;33.7;0;0;0;0;0;0;0
1;155.400209394843;9.12852671574115;96.2;58.3;1;1;1;0;0;0;0
0;113.244983847244;16.2163497742248;85.1;56.4;1;0;0;0;0;0;0
0;66.6258356349518;25.7099202643649;76.4;39.8;0;0;0;0;0;0;0
0;23.6293777306568;15.7178242769157;93.7;35.6;1;1;1;0;0;0;0
1;83.3759673654825;15.6041661103694;84.5;48.2;0;1;0;0;0;0;0
0;63.055512121503;33.7653668719888;69.9;34.7;0;0;0;0;0;0;0
0;149.793763565021;24.6465007658288;87.6;71.3;0;0;0;0;0;0;0
0;136.229334486478;32.9587621126765;77.2;73.8;0;0;0;0;0;0;0
0;153.434948822922;18.5593642132482;91.7;66.6;0;0;0;0;0;0;0
0;67.682813482934;24.7541915642584;77.1;40.6;0;0;0;0;0;0;0
0;70.4695398698822;28.1177879642051;73.5;40.6;0;1;0;0;0;0;0
0;75.5297058999341;32.0156211871642;69;42;0;0;0;0;0;0;0
0;54.0193224313817;9.02108640907512;92.7;44.7;1;1;0;0;0;0;0
0;118.407006510253;29.2181450472134;74.3;63.9;0;0;0;0;0;0;0
0;99.4623222080256;29.1972601454314;71.2;54.8;0;0;1;0;0;0;0
0;35.0737544933483;22.971286424578;86.8;31.2;0;0;0;0;0;0;0
0;149.245605920441;42.2403835209862;78.4;86.3;0;1;1;0;0;0;0
0;80.9334972601838;9.51892851112982;90.6;48.5;1;1;0;0;0;0;0
0;84.4995885297981;13.5624481565829;86.5;48.7;1;1;0;0;0;0;0
0;37.1959014080561;14.060227594175;91.5;38.8;1;1;1;0;0;0;0
0;60.5844011669045;10.7912001186152;90.6;44.7;0;0;0;0;0;0;0
0;60.3955492539951;15.181897114656;86.8;42.5;0;0;0;0;0;1;0
1;47.7065128677028;19.4671518204385;85.6;36.9;0;0;0;0;0;0;0
0;153.996654155489;9.12359578236564;96;58.2;1;0;0;0;0;0;0
0;121.742761153419;13.8755180083484;88.2;57.3;0;1;1;0;0;0;0
0;31.2826536816397;9.2439169187093;95.2;42.1;1;1;1;0;0;0;0
0;133.608985113394;32.0413794958956;76.8;72.1;0;0;0;0;0;0;0
0;72.1437767426858;15.65407295243;85.1;45.2;0;1;0;0;0;0;0
0;74.1886290698615;23.4887206973901;77.4;43.6;0;0;0;0;0;0;0
0;148.113438229857;25.5566038432339;86.5;71.7;0;0;0;0;0;0;0
0;138.36646066343;8.4291162051546;94.4;56.3;0;1;1;0;0;0;0
0;51.0863513455828;24.6756965453865;80.8;34.5;0;0;0;0;0;0;0
0;124.411143383939;24.2423183709809;80;63.7;0;0;0;0;0;0;0
