start;day;home;away;first_t1;first_t2;second_t1;second_t2;t1_rank;t2_rank;result_first_t1;result_first_t2;result_second_t1;result_second_t2;result_projection_second_t1;result_projection_second_t2
2002;6;RC Strasbourg;CS Sedan;1;1;1;2;12;14;1;1;0;3;1;1.67
2002;6;Girondins de Bordeaux;ESTAC Troyes;1;0;1;0;11;19;3;0;3;0;1.14;1.16
2002;7;Paris Saint-Germain;RC Strasbourg;3;0;1;0;10;12;3;0;3;0;1.14;1.16
2002;7;FC Sochaux-Montbéliard;AJ Auxerre;1;1;0;2;7;5;1;1;0;3;1;1.67
2002;7;SC Bastia;AC Ajaccio;1;2;1;1;15;18;0;3;1;1;0.9;1.81
2002;7;ESTAC Troyes;Havre AC;1;1;0;1;19;17;1;1;0;3;1;1.67
2002;7;FC Nantes;Olympique Lyonnais;1;0;0;0;9;4;3;0;1;1;1.14;1.16
2002;7;Montpellier Hérault SC;LOSC Lille;1;0;0;2;20;13;3;0;0;3;1.14;1.16
2002;7;EA Guingamp;OGC Nice;0;0;0;1;6;2;1;1;0;3;1;1.67
2002;7;CS Sedan;AS Monaco FC;2;2;0;3;14;3;1;1;0;3;1;1.67
2002;7;RC Lens;Stade Rennais FC;1;0;1;1;8;16;3;0;1;1;1.14;1.16
2002;7;Olympique de Marseille;Girondins de Bordeaux;2;1;1;3;1;11;3;0;0;3;1.14;1.16
2002;8;Paris Saint-Germain;SC Bastia;1;1;0;1;10;15;1;1;0;3;1;1.67
2002;8;Olympique Lyonnais;AS Monaco FC;1;3;0;2;4;3;0;3;0;3;0.9;1.81
2002;8;LOSC Lille;EA Guingamp;2;1;0;1;13;6;3;0;0;3;1.14;1.16
2002;8;AC Ajaccio;FC Sochaux-Montbéliard;0;1;1;1;18;7;0;3;1;1;0.9;1.81
2002;8;OGC Nice;ESTAC Troyes;1;0;0;1;2;19;3;0;0;3;1.14;1.16
2002;8;Stade Rennais FC;FC Nantes;1;0;0;1;16;9;3;0;0;3;1.14;1.16
2002;8;RC Strasbourg;Montpellier Hérault SC;3;2;1;2;12;20;3;0;0;3;1.14;1.16
2002;8;Havre AC;Olympique de Marseille;1;3;0;2;17;1;0;3;0;3;0.9;1.81
2002;8;Girondins de Bordeaux;RC Lens;1;0;3;3;11;8;3;0;1;1;1.14;1.16
2002;8;AJ Auxerre;CS Sedan;3;1;2;1;5;14;3;0;3;0;1.14;1.16
2002;9;SC Bastia;Girondins de Bordeaux;2;1;2;0;15;11;3;0;3;0;1.14;1.16
2002;9;Olympique de Marseille;AC Ajaccio;3;1;2;0;1;18;3;0;3;0;1.14;1.16
2002;9;FC Nantes;AJ Auxerre;1;4;1;0;9;5;0;3;3;0;0.9;1.81
