2017-02-26 21:20:54,938 - INFO    - START
project/nn_xval.py:47: RuntimeWarning: invalid value encountered in absolute
  acc = np.abs(np.mean(y_test - y_test_predict))

2017-02-26 21:40:39,265 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 1000, reg_lambda: 0.001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:40:45,702 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 1000, reg_lambda: 0.0001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:40:52,203 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 1000, reg_lambda: 1e-05 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:41:04,902 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 2000, reg_lambda: 1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:41:17,432 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 2000, reg_lambda: 0.1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:41:29,935 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 2000, reg_lambda: 0.01 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:41:42,420 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 2000, reg_lambda: 0.001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:41:54,869 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 2000, reg_lambda: 0.0001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:42:08,280 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 2000, reg_lambda: 1e-05 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:42:32,816 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 4000, reg_lambda: 1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:42:57,264 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 4000, reg_lambda: 0.1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:43:22,208 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 4000, reg_lambda: 0.01 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:43:46,940 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 4000, reg_lambda: 0.001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:44:11,562 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 4000, reg_lambda: 0.0001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:44:36,124 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.0001, itera: 4000, reg_lambda: 1e-05 -> nan (445.0 goals/nan expg | nan expg/goals)
