"start","day","name","home_avg","away_avg"
1935,13,"FC Sochaux-Montbéliard",1,2
1935,13,"FC Sochaux-Montbéliard",1,1.5
1935,13,"Olympique d'Alès",2,2
1935,13,"Olympique d'Alès",2,2
1935,13,"FC Antibes",2,1.5
1935,13,"Olympique Lillois",3,2
1935,15,"Valenciennes FC",1.5,0
1935,15,"SC Fives",0.5,1.5
1935,15,"SC Fives",0.5,0
1935,15,"EAC Roubaix",2,0.5
1935,15,"Stade Rennais FC",2,0
1935,15,"SC Fives",0.5,3
1935,15,"SC Fives",0.5,0
1935,15,"SC Fives",0.5,1.5
1935,20,"SC Fives",2,0
1935,20,"SC Fives",2,3
1935,20,"SC Fives",2,1.5
1935,20,"SC Fives",2,1.5
1935,20,"SC Fives",2,0
1935,21,"SC Fives",2,3
1935,21,"SC Fives",2,0
1935,21,"SC Fives",2,1.5
1935,21,"SC Fives",2,1.5
1935,21,"SC Fives",2,0
1935,23,"FC Mulhouse",2,0
1935,23,"Olympique de Marseille",1.5,1.5
1935,23,"Olympique de Marseille",1.5,0.5
1935,23,"Olympique Lillois",3,1
1935,23,"AS Cannes",3,0.5
1935,23,"AS Cannes",3,1.5
1935,23,"Olympique Lillois",3,1.5
1935,23,"Olympique Lillois",3,0.5
1935,23,"Olympique Lillois",3,2
1935,23,"Olympique Lillois",3,0.5
1935,23,"Olympique Lillois",3,0.5
1935,23,"FC Mulhouse",2,1.5
1935,23,"FC Mulhouse",2,0
1935,23,"FC Mulhouse",2,0
1935,25,"FC Sète 34",3,0
1935,25,"FC Sète 34",3,1.5
1935,26,"Olympique Lillois",0,0.5
1935,26,"Olympique Lillois",0,1.5
1935,26,"Olympique d'Alès",0.5,2
1935,26,"Olympique d'Alès",0.5,2
1935,26,"Olympique Lillois",0,0.5
1935,26,"Olympique Lillois",0,1
1935,26,"Stade Rennais FC",2,0
1935,26,"Olympique Lillois",0,0.5
1935,26,"Olympique Lillois",0,2
1935,27,"FC Mulhouse",0,0
1935,27,"FC Mulhouse",0,0
1935,27,"FC Mulhouse",0,1.5
1935,27,"FC Mulhouse",0,0
1935,28,"SC Fives",3,0
1935,28,"EAC Roubaix",1,0.5
1935,28,"SC Fives",3,1.5
1935,28,"SC Fives",3,1.5
1935,28,"SC Fives",3,3
1935,28,"AS Cannes",2,0.5
1935,28,"AS Cannes",2,1.5
1935,28,"RC Strasbourg",1.5,1.5
1935,28,"RC Strasbourg",1.5,0.5
1935,28,"SC Fives",3,0
1936,2,"EAC Roubaix",0.5,1.5
